DEBUG 2025-01-27 13:16:01,361 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\billiard\process.py first seen with mtime 1737714124.7642348
DEBUG 2025-01-27 13:16:01,361 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1737714127.9422095
DEBUG 2025-01-27 13:16:01,361 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\celery\loaders\__init__.py first seen with mtime 1737714173.0486908
DEBUG 2025-01-27 13:16:01,362 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\kombu\resource.py first seen with mtime 1737714164.0971494
DEBUG 2025-01-27 13:16:01,362 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\urllib3\_request_methods.py first seen with mtime 1737714112.0137293
DEBUG 2025-01-27 13:16:01,362 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\celery\utils\text.py first seen with mtime 1737714173.0574584
DEBUG 2025-01-27 13:16:01,362 autoreload File C:\Python313\Lib\logging\config.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 13:16:01,362 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\amqp\exceptions.py first seen with mtime 1737714139.828652
DEBUG 2025-01-27 13:16:01,362 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\idna\intranges.py first seen with mtime 1737714124.008738
DEBUG 2025-01-27 13:16:01,362 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\forms\formsets.py first seen with mtime 1737714127.9452107
DEBUG 2025-01-27 13:16:01,362 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\urllib3\fields.py first seen with mtime 1737714112.015731
DEBUG 2025-01-27 13:16:01,362 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\core\checks\messages.py first seen with mtime 1737714127.8639452
DEBUG 2025-01-27 13:16:01,362 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\contrib\staticfiles\__init__.py first seen with mtime 1737714127.8478894
DEBUG 2025-01-27 13:16:01,362 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1737714127.9390216
DEBUG 2025-01-27 13:16:01,362 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\charset_normalizer\md__mypyc.cp313-win_amd64.pyd first seen with mtime 1737714124.460217
DEBUG 2025-01-27 13:16:01,362 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\db\migrations\state.py first seen with mtime 1737714127.920986
DEBUG 2025-01-27 13:16:01,362 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\rest_framework\utils\mediatypes.py first seen with mtime 1737714165.4730973
DEBUG 2025-01-27 13:16:01,362 autoreload File C:\Python313\Lib\importlib\metadata\_collections.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 13:16:01,362 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\rest_framework\schemas\generators.py first seen with mtime 1737714165.4238994
DEBUG 2025-01-27 13:16:01,362 autoreload File C:\Python313\Lib\email\parser.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 13:16:01,363 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\sqlparse\utils.py first seen with mtime 1737714112.8573596
DEBUG 2025-01-27 13:16:01,363 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\utils\html.py first seen with mtime 1737714128.0036352
DEBUG 2025-01-27 13:16:01,363 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\sqlparse\filters\tokens.py first seen with mtime 1737714112.8608665
DEBUG 2025-01-27 13:16:01,363 autoreload File C:\Python313\Lib\asyncio\constants.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 13:16:01,363 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\urllib3\http2\__init__.py first seen with mtime 1737714112.021241
